,precision,recall,f1-score,support
related,0.8009408060966516,0.8140377646385657,0.7824936611174794,5243.0
request,0.8899865044338584,0.8891855807743658,0.8722378926096956,5243.0
offer,0.9916254651079417,0.9958039290482548,0.99371030457969,5243.0
aid_related,0.7776301313630426,0.7737936296013732,0.7671769328526516,5243.0
medical_help,0.8944545374302534,0.9195117299256151,0.8867727966177404,5243.0
medical_products,0.9365713591263398,0.950028609574671,0.9292692659508666,5243.0
search_and_rescue,0.9629426491427785,0.9694831203509441,0.9558748552894245,5243.0
security,0.9659599547457147,0.9826435246995995,0.9742303189566209,5243.0
military,0.9585619534228385,0.9685294678619111,0.9549678304460402,5243.0
child_alone,1.0,1.0,1.0,5243.0
water,0.9364191717059382,0.940492084684341,0.9217893483850962,5243.0
food,0.9176699932003405,0.921037573908068,0.9062913859911904,5243.0
shelter,0.9234742011502177,0.9271409498378791,0.9094161640933272,5243.0
clothing,0.9820149081601326,0.9856952126645051,0.9797696844534955,5243.0
money,0.9774545267918111,0.9769216097654014,0.9660623589353461,5243.0
missing_people,0.9742264226432102,0.9868395956513446,0.9804924464808886,5243.0
refugees,0.9632102871492085,0.9668128933816518,0.951745413433293,5243.0
death,0.9543420312705188,0.9595651344650009,0.9448732199888921,5243.0
other_aid,0.8265926854069567,0.8664886515353805,0.8073963661785494,5243.0
infrastructure_related,0.8719779043814144,0.9332443257676902,0.9015714717755744,5243.0
transport,0.9414229887769076,0.9553690635132558,0.9378832886904005,5243.0
buildings,0.9459789506660512,0.950982262063704,0.9313066693138251,5243.0
electricity,0.9820253249334262,0.9816898722105665,0.9731579799813016,5243.0
tools,0.9874514029204867,0.9937058935723823,0.9905687755691404,5243.0
hospitals,0.978374915771004,0.9891283616250238,0.9837222520639322,5243.0
shops,0.9912456411278542,0.9956131985504482,0.993424619408074,5243.0
aid_centers,0.9749820373924175,0.9874117871447644,0.9811575474181277,5243.0
other_infrastructure,0.915632123848689,0.9565134465000954,0.9356264303160418,5243.0
weather_related,0.8642516476502021,0.864390616059508,0.8569274633199033,5243.0
floods,0.9341654319378199,0.9366774747282091,0.9218604221784464,5243.0
storm,0.9255474195477316,0.9332443257676902,0.9243373196868166,5243.0
fire,0.9879423097925464,0.9877932481403776,0.9820863886665218,5243.0
earthquake,0.9602348998283925,0.9620446309364867,0.960372019428856,5243.0
cold,0.9799818642075367,0.9818806027083731,0.9742319622608991,5243.0
other_weather,0.9159055077527414,0.9427808506580202,0.9170113378426838,5243.0
direct_report,0.8699916087834232,0.865344268548541,0.8420074370402146,5243.0
